"","Condition","Serotype","Source","Day","Strain","Replicate","Minus","Plus","Log_RD"
"190","pH","1/2b","Salmon",15,"FSL L3-0051",3,8.95,8.48,0.469999999999999
"191","pH","4b","Environment",15,"FSL N1-0061",3,9.14,8.57,0.57
"192","pH","4b","Salmon",15,"FSL F2-0310",3,9.22,8.87,0.350000000000001
"193","pH","1/2a","Environment",30,"FSL L4-0396",3,9.26,9,0.26
"194","pH","1/2a","Salmon",30,"FSL F2-0237",3,9.4,9.11,0.290000000000001
"195","pH","1/2b","Environment",30,"FSL L4-0060",3,9.22,8.88,0.34
"196","pH","1/2b","Salmon",30,"FSL L3-0051",3,9.41,8.54,0.870000000000001
"197","pH","4b","Environment",30,"FSL N1-0061",3,9.36,9.03,0.33
"198","pH","4b","Salmon",30,"FSL F2-0310",3,9.13,9,0.130000000000001
"199","pH","1/2a","Environment",1,"FSL L4-0396",5,6.16,5.94,0.22
"200","pH","1/2a","Salmon",1,"FSL F2-0237",5,6.27,5.21,1.06
"201","pH","1/2b","Environment",1,"FSL L4-0060",5,6.19,5.68,0.510000000000001
"202","pH","1/2b","Salmon",1,"FSL L3-0051",5,6.15,4.18,1.97
"203","pH","4b","Environment",1,"FSL N1-0061",5,6.24,6.07,0.17
"204","pH","4b","Salmon",1,"FSL F2-0310",5,6.13,5.54,0.59
"205","pH","1/2a","Environment",15,"FSL L4-0396",5,9.49,8.86,0.630000000000001
"206","pH","1/2a","Salmon",15,"FSL F2-0237",5,9.38,9.25,0.130000000000001
"207","pH","1/2b","Environment",15,"FSL L4-0060",5,9.35,9.26,0.0899999999999999
"208","pH","1/2b","Salmon",15,"FSL L3-0051",5,9.27,8.6,0.67
"209","pH","4b","Environment",15,"FSL N1-0061",5,9.32,8.33,0.99
"210","pH","4b","Salmon",15,"FSL F2-0310",5,9.41,9.2,0.210000000000001
"211","pH","1/2a","Environment",30,"FSL L4-0396",5,9.38,8.94,0.440000000000001
"212","pH","1/2a","Salmon",30,"FSL F2-0237",5,9.27,8.94,0.33
"213","pH","1/2b","Environment",30,"FSL L4-0060",5,9.44,8.91,0.529999999999999
"214","pH","1/2b","Salmon",30,"FSL L3-0051",5,9.22,8.96,0.26
"215","pH","4b","Environment",30,"FSL N1-0061",5,9.38,9.18,0.200000000000001
"216","pH","4b","Salmon",30,"FSL F2-0310",5,9.33,8.85,0.48
"217","Quat","1/2a","Environment",1,"FSL L4-0396",1,6.79,5.78,1.01
"218","Quat","1/2a","Salmon",1,"FSL F2-0237",1,6.68,6.03,0.649999999999999
"219","Quat","1/2b","Environment",1,"FSL L4-0060",1,6.74,6.01,0.73
"220","Quat","1/2b","Salmon",1,"FSL L3-0051",1,6.32,5.45,0.87
"221","Quat","4b","Environment",1,"FSL N1-0061",1,6.01,5.39,0.62
"222","Quat","4b","Salmon",1,"FSL F2-0310",1,6.28,6.49,-0.21
"223","Quat","1/2a","Environment",15,"FSL L4-0396",1,9.23,8.77,0.460000000000001
"224","Quat","1/2a","Salmon",15,"FSL F2-0237",1,9.07,8.3,0.77
"225","Quat","1/2b","Environment",15,"FSL L4-0060",1,9.33,8.6,0.73
"226","Quat","1/2b","Salmon",15,"FSL L3-0051",1,9.23,8.6,0.630000000000001
